id,created_at,text,user,followers_count,retweet_count,favorite_count,location,cleaned_text,textblob_sentiment,textblob_polarity,textblob_subjectivity,vader_sentiment,vader_compound,vader_positive,vader_negative,vader_neutral
1,2025-07-08 12:36:51.016662,I love this new technology! It's amazing and revolutionary! 😍,user_1,5715,65,150,Sample Location,i love this new technology its amazing and revolutionary,Positive,0.4121212121212121,0.6515151515151515,Positive,0.8402,0.533,0.0,0.467
2,2025-07-08 12:36:51.016662,This is the worst product I've ever used. Completely disappointed 😞,user_2,8678,65,163,Sample Location,this is the worst product ive ever used completely disappointed,Negative,-0.875,0.875,Negative,-0.8173,0.0,0.484,0.516
3,2025-07-08 12:36:51.016662,"It's okay, nothing special but does the job.",user_3,4134,44,25,Sample Location,its okay nothing special but does the job,Positive,0.4285714285714286,0.5357142857142857,Neutral,-0.0462,0.16,0.179,0.661
4,2025-07-08 12:36:51.016662,Absolutely fantastic! Best purchase I've made this year! 🎉,user_4,7543,82,16,Sample Location,absolutely fantastic best purchase ive made this year,Positive,0.7,0.6,Positive,0.8545,0.583,0.0,0.417
5,2025-07-08 12:36:51.016662,Terrible customer service. Very frustrated with this company 😡,user_5,5107,62,177,Sample Location,terrible customer service very frustrated with this company,Negative,-0.955,0.63,Negative,-0.7778,0.0,0.531,0.469
6,2025-07-08 12:36:51.016662,"Not bad, could be better though. Average experience.",user_6,5608,57,99,Sample Location,not bad could be better though average experience,Positive,0.23333333333333328,0.5222222222222221,Positive,0.6956,0.489,0.0,0.511
7,2025-07-08 12:36:51.016662,Mind-blowing innovation! This will change everything! 🚀,user_7,5677,25,156,Sample Location,mindblowing innovation this will change everything,Neutral,0.0,0.0,Positive,0.3818,0.342,0.0,0.658
8,2025-07-08 12:36:51.016662,Waste of money. Wouldn't recommend to anyone.,user_8,5329,64,142,Sample Location,waste of money wouldnt recommend to anyone,Negative,-0.2,0.0,Negative,-0.6007,0.0,0.495,0.505
9,2025-07-08 12:36:51.016662,Pretty good overall. Has some nice features.,user_9,6251,34,40,Sample Location,pretty good overall has some nice features,Positive,0.38749999999999996,0.65,Positive,0.836,0.69,0.0,0.31
10,2025-07-08 12:36:51.016662,Outstanding quality and excellent design! Highly recommended! ⭐⭐⭐⭐⭐,user_10,4213,84,69,Sample Location,outstanding quality and excellent design highly recommended,Positive,0.5533333333333333,0.805,Positive,0.8687,0.71,0.0,0.29
